Time (s),Speed (RPM),,Cycle,Number of Revolutions
1.5625,4678.4,,,
1.5667,4524.6,,,
1.5708,4414.3,,,
1.575,4356,,,
1.5792,4346,,,
1.5833,4373.1,,,
1.5875,4423.5,,,
1.5917,4484.4,,,
1.5958,4546.3,,,
1.6,4603.3,,,
1.6042,4652,,,
1.6083,4691.5,,,
1.6125,4722.3,,,
1.6167,4745.5,,,
1.6208,4762.4,,,
1.625,4774.5,,,
1.6292,4783,,,
1.6333,4788.8,,,
1.6375,4792.7,,,
1.6417,4795.3,,,
1.6458,4797,,,
1.65,4798.1,,,
1.6542,4798.8,,,
1.6583,4799.3,,,
1.6625,4799.5,,,
1.6667,4799.7,,,
1.6708,4799.8,,,
1.675,4790.5,,,
1.6792,4757.8,,,
1.6833,4692.2,,,
1.6875,4593.7,,,
1.6917,4480.1,,,
1.6958,4377.5,,,
1.7,4307.8,,,
1.7042,4280.6,,,
1.7083,4293.6,,,
1.7125,4337.3,,,
1.7167,4399.4,,,
1.7208,4468.4,,,
1.725,4535.9,,,
1.7292,4587.1,,,
1.7333,4605.4,,,
1.7375,4580.9,,,
1.7417,4514.3,,,
1.7458,4424.5,,,
1.75,4339.3,,,
1.7542,4281.9,,,
1.7583,4263.3,,,
1.7625,4282.3,,,
1.7667,4330,,,
1.7708,4394.6,,,
1.775,4465.4,,,
1.7792,4534,,,
1.7833,4585.9,,,
1.7875,4604.7,,,
1.7917,4580.5,,,
1.7958,4514,,,
1.8,4424.3,,,
1.8042,4339.2,,,
1.8083,4281.9,,,
1.8125,4263.3,,,
1.8167,4282.3,,,
1.8208,4329.9,,,
1.825,4385.2,,,
1.8292,4423.2,,,
1.8333,4426.2,,,
1.8375,4389,,,
1.8417,4327,,,
1.8458,4265.8,,,
1.85,4228.1,,,
1.8542,4215.4,,,
1.8583,4213.1,,,
1.8625,4203.6,,,
1.8667,4175.8,,,
1.8708,4137.1,,,
1.875,4106,,,
1.8792,4099.5,,,
1.8833,4115.8,,,
1.8875,4138.3,,,
1.8917,4148.9,,,
1.8958,4136.8,,,
1.9,4100.4,,,
1.9042,4045.1,,,
1.9083,3979.1,,,
1.9125,3910.5,,,
1.9167,3855,,,
1.9208,3830.7,,,
1.925,3848.5,,,
1.9292,3899.4,,,
1.9333,3960.3,,,
1.9375,4008,,,
1.9417,4028.9,,,
1.9458,4020.2,,,
1.95,3986.9,,,
1.9542,3937.8,,,
1.9583,3881.7,,,
1.9625,3835.4,,,
1.9667,3817.4,,,
1.9708,3839.8,,,
1.975,3893.7,,,
1.9792,3956.5,,,
1.9833,4005.6,,,
1.9875,4027.4,,,
1.9917,4019.3,,,
1.9958,3986.3,,,
2,3937.4,,,
2.0042,3881.5,,,
2.0083,3825.9,,,
2.0125,3775.2,,,
2.0167,3731.9,,,
2.0208,3696.8,,,
2.025,3669.4,,,
2.0292,3648.8,,,
2.0333,3633.7,,,
2.0375,3622.9,,,
2.0417,3609.7,,,
2.0458,3584.8,,,
2.05,3541.9,,,
2.0542,3480.5,,,
2.0583,3405.1,,,
2.0625,3328.5,,,
2.0667,3266.4,,,
2.0708,3229.9,,,
2.075,3222.8,,,
2.0792,3235.8,,,
2.0833,3253.3,,,
2.0875,3261,,,
2.0917,3251.9,,,
2.0958,3225.4,,,
2.1,3185.8,,,
2.1042,3139.3,,,
2.1083,3091.4,,,
2.1125,3046.6,,,
2.1167,3007.4,,,
2.1208,2971,,,
2.125,2932,,,
2.1292,2885.9,,,
2.1333,2831.7,,,
2.1375,2771.7,,,
2.1417,2710,,,
2.1458,2654.3,,,
2.15,2613.5,,,
2.1542,2593.4,,,
2.1583,2594.5,,,
2.1625,2613.3,,,
2.1667,2637.7,,,
2.1708,2651.9,,,
2.175,2644.5,,,
2.1792,2611.9,,,
2.1833,2557.9,,,
2.1875,2490,,,
2.1917,2417,,,
2.1958,2345.8,,,
2.2,2281.5,,,
2.2042,2226.7,,,
2.2083,2182.1,,,
2.2125,2147.2,,,
2.2167,2120.7,,,
2.2208,2101.2,,,
2.225,2087.2,,,
2.2292,2077.3,,,
2.2333,2070.5,,,
2.2375,2065.9,,,
2.2417,2062.8,,,
2.2458,2060.7,,,
2.25,2059.4,,,
2.2542,2053.7,,,
2.2583,2036.3,,,
2.2625,2002.2,,,
2.2667,1951.4,,,
2.2708,1888,,,
2.275,1818.3,,,
2.2792,1748.6,,,
2.2833,1684,,,
2.2875,1627.4,,,
2.2917,1580.3,,,
2.2958,1540.7,,,
2.3,1505,,,
2.3042,1470,,,
2.3083,1434.3,,,
2.3125,1398.3,,,
2.3167,1363.3,,,
2.3208,1330.7,,,
2.325,1301.9,,,
2.3292,1277.4,,,
2.3333,1257.4,,,
2.3375,1241.7,,,
2.3417,1229.7,,,
2.3458,1216.1,,,
2.35,1193.2,,,
2.3542,1155.8,,,
2.3583,1103.3,,,
2.3625,1039.6,,,
2.3667,970.45,,,
2.3708,901.79,,,
2.375,838.3,,,
2.3792,782.9,,,
2.3833,736.8,,,
2.3875,699.97,,,
2.3917,671.54,,,
2.3958,650.23,,,
2.4,634.66,,,
2.4042,623.55,,,
2.4083,615.77,,,
2.4125,610.42,,,
2.4167,606.81,,,
2.4208,604.39,,,
2.425,602.81,,,
2.4292,601.78,,,
2.4333,601.12,,,
2.4375,600.7,,,
2.4417,600.43,,,
2.4458,598.62,,,
2.45,592.75,,,
2.4542,581.16,,,
2.4583,563.83,,,
2.4625,542.19,,,
2.4667,518.39,,,
2.4708,494.61,,,
2.475,472.52,,,
2.4792,453.2,,,
2.4833,437.1,,,
2.4875,424.22,,,
2.4917,414.27,,,
2.4958,406.8,,,
2.5,401.35,,,
2.5042,397.45,,,
2.5083,394.72,,,
2.5125,392.85,,,
2.5167,391.58,,,
2.5208,390.73,,,
2.525,390.18,,,
2.5292,389.81,,,
2.5333,389.58,,,
2.5375,389.43,,,
2.5417,389.34,,,
2.5458,389.28,,,
2.55,389.25,,,
2.5542,389.22,,,
2.5583,389.21,,,
2.5625,389.2,,,
2.5667,389.2,,,
2.5708,389.19,,,
2.575,389.19,,,
2.5792,389.19,,,
2.5833,389.19,,,
2.5875,389.19,,,
2.5917,389.19,,,
2.5958,389.19,,,
2.6,394.8,,,
2.6042,414.45,,,
2.6083,453.74,,,
2.6125,512.68,,,
2.6167,586.36,,,
2.6208,667.4,,,
2.625,748.45,,,
2.6292,823.7,,,
2.6333,889.55,,,
2.6375,944.42,,,
2.6417,988.32,,,
2.6458,1022.2,,,
2.65,1047.7,,,
2.6542,1070.1,,,
2.6583,1096.9,,,
2.6625,1133.1,,,
2.6667,1179.9,,,
2.6708,1234.7,,,
2.675,1293.1,,,
2.6792,1350.5,,,
2.6833,1403.3,,,
2.6875,1449.2,,,
2.6917,1490.9,,,
2.6958,1533.8,,,
2.7,1582.2,,,
2.7042,1637.2,,,
2.7083,1696.9,,,
2.7125,1757.6,,,
2.7167,1815.6,,,
2.7208,1874.3,,,
2.725,1941.7,,,
2.7292,2023.5,,,
2.7333,2120.3,,,
2.7375,2227.1,,,
2.7417,2336.6,,,
2.7458,2441.6,,,
2.75,2536.5,,,
2.7542,2617.9,,,
2.7583,2684.9,,,
2.7625,2738,,,
2.7667,2778.7,,,
2.7708,2809.1,,,
2.775,2831.2,,,
2.7792,2846.9,,,
2.7833,2863.5,,,
2.7875,2890.7,,,
2.7917,2935.2,,,
2.7958,2997.6,,,
2.8,3073.7,,,
2.8042,3156.3,,,
2.8083,3238.4,,,
2.8125,3314.4,,,
2.8167,3380.8,,,
2.8208,3436,,,
2.825,3480.1,,,
2.8292,3514.2,,,
2.8333,3539.8,,,
2.8375,3558.4,,,
2.8417,3571.8,,,
2.8458,3581.1,,,
2.85,3596.9,,,
2.8542,3634,,,
2.8583,3702.5,,,
2.8625,3781.5,,,
2.8667,3830.7,,,
2.8708,3816.9,,,
2.875,3727.7,,,
2.8792,3572.5,,,
2.8833,3373.3,,,
2.8875,3155.7,,,
2.8917,2963.2,,,
2.8958,2843.5,,,
2.9,2826.6,,,
2.9042,2915.1,,,
2.9083,3089,,,
2.9125,3316.8,,,
2.9167,3565.9,,,
2.9208,3809.7,,,
2.925,4030.4,,,
2.9292,4218.6,,,
2.9333,4371.8,,,
2.9375,4491.6,,,
2.9417,4582.3,,,
2.9458,4649.1,,,
2.95,4697.1,,,
2.9542,4730.9,,,
2.9583,4754.2,,,
2.9625,4770,,,
2.9667,4780.6,,,
2.9708,4787.6,,,
2.975,4792.1,,,
2.9792,4795,,,
2.9833,4796.9,,,
2.9875,4798.1,,,
2.9917,4798.8,,,
2.9958,4799.3,,,
3,4799.6,,,
3.0042,4776.3,,,
3.0083,4694.4,,,
3.0125,4530.4,,,
3.0167,4284.3,,,
3.0208,3976.7,,,
3.025,3638.4,,,
3.0292,3300,,,
3.0333,2985.8,,,
3.0375,2734.3,,,
3.0417,2587.2,,,
3.0458,2568,,,
3.05,2657.5,,,
3.0542,2806.3,,,
3.0583,2962.1,,,
3.0625,3087.5,,,
3.0667,3166.1,,,
3.0708,3212.7,,,
3.075,3259.7,,,
3.0792,3334.9,,,
3.0833,3435.2,,,
3.0875,3534,,,
3.0917,3602.6,,,
3.0958,3624.3,,,
3.1,3598,,,
3.1042,3533.6,,,
3.1083,3445.7,,,
3.1125,3348.8,,,
3.1167,3254.1,,,
3.1208,3169,,,
3.125,3096.9,,,
3.1292,3038.7,,,
3.1333,2993.6,,,
3.1375,2959.7,,,
3.1417,2934.9,,,
3.1458,2917.2,,,
3.15,2904.9,,,
3.1542,2896.4,,,
3.1583,2890.7,,,
3.1625,2886.9,,,
